"Activity_Code" "Subject" "Activity_Label" "variable" "mean.activity"
1 1 "WALKING" "tBodyAcc-mean()-X" 0.277330758736842
1 1 "WALKING" "tBodyAcc-mean()-Y" -0.0173838185273684
1 1 "WALKING" "tBodyAcc-mean()-Z" -0.111148103547368
1 1 "WALKING" "tGravityAcc-mean()-X" 0.935223201473684
1 1 "WALKING" "tGravityAcc-mean()-Y" -0.282165021263158
1 1 "WALKING" "tGravityAcc-mean()-Z" -0.068102864
1 1 "WALKING" "tBodyAccJerk-mean()-X" 0.0740416333157895
1 1 "WALKING" "tBodyAccJerk-mean()-Y" 0.0282721095884211
1 1 "WALKING" "tBodyAccJerk-mean()-Z" -0.00416840617789474
1 1 "WALKING" "tBodyGyro-mean()-X" -0.041830963526
1 1 "WALKING" "tBodyGyro-mean()-Y" -0.0695300462115789
1 1 "WALKING" "tBodyGyro-mean()-Z" 0.0849448173042105
1 1 "WALKING" "tBodyGyroJerk-mean()-X" -0.0899975423705263
1 1 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0398428709463158
1 1 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0461309295021053
1 1 "WALKING" "tBodyAccMag-mean()" -0.136971176556842
1 1 "WALKING" "tGravityAccMag-mean()" -0.136971176556842
1 1 "WALKING" "tBodyAccJerkMag-mean()" -0.141428809031579
1 1 "WALKING" "tBodyGyroMag-mean()" -0.160979552536842
1 1 "WALKING" "tBodyGyroJerkMag-mean()" -0.298703679084211
1 1 "WALKING" "fBodyAcc-mean()-X" -0.202794306326316
1 1 "WALKING" "fBodyAcc-mean()-Y" 0.0897127264021053
1 1 "WALKING" "fBodyAcc-mean()-Z" -0.331560117789474
1 1 "WALKING" "fBodyAcc-meanFreq()-X" -0.207548374494737
1 1 "WALKING" "fBodyAcc-meanFreq()-Y" 0.113093646103158
1 1 "WALKING" "fBodyAcc-meanFreq()-Z" 0.0497265196172632
1 1 "WALKING" "fBodyAccJerk-mean()-X" -0.170546964549579
1 1 "WALKING" "fBodyAccJerk-mean()-Y" -0.0352255241130632
1 1 "WALKING" "fBodyAccJerk-mean()-Z" -0.468999224631579
1 1 "WALKING" "fBodyAccJerk-meanFreq()-X" -0.209261973376842
1 1 "WALKING" "fBodyAccJerk-meanFreq()-Y" -0.386237143210526
1 1 "WALKING" "fBodyAccJerk-meanFreq()-Z" -0.185530281244211
1 1 "WALKING" "fBodyGyro-mean()-X" -0.339032197115789
1 1 "WALKING" "fBodyGyro-mean()-Y" -0.103059416434737
1 1 "WALKING" "fBodyGyro-mean()-Z" -0.255940940315789
1 1 "WALKING" "fBodyGyro-meanFreq()-X" 0.0147844986621053
1 1 "WALKING" "fBodyGyro-meanFreq()-Y" -0.0657746190010526
1 1 "WALKING" "fBodyGyro-meanFreq()-Z" 0.00077332156431579
1 1 "WALKING" "fBodyAccMag-mean()" -0.128623450629474
1 1 "WALKING" "fBodyAccMag-meanFreq()" 0.1906437244
1 1 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.0571194000343158
1 1 "WALKING" "fBodyBodyAccJerkMag-meanFreq()" 0.0938221807027368
1 1 "WALKING" "fBodyBodyGyroMag-mean()" -0.199252568986316
1 1 "WALKING" "fBodyBodyGyroMag-meanFreq()" 0.268844367525895
1 1 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.319308593778947
1 1 "WALKING" "fBodyBodyGyroJerkMag-meanFreq()" 0.190663448793684
1 1 "WALKING" "tBodyAcc-std()-X" -0.283740258842105
1 1 "WALKING" "tBodyAcc-std()-Y" 0.114461336747368
1 1 "WALKING" "tBodyAcc-std()-Z" -0.260027902210526
1 1 "WALKING" "tGravityAcc-std()-X" -0.976609642526316
1 1 "WALKING" "tGravityAcc-std()-Y" -0.971305961473684
1 1 "WALKING" "tGravityAcc-std()-Z" -0.947717226105263
1 1 "WALKING" "tBodyAccJerk-std()-X" -0.113615602435789
1 1 "WALKING" "tBodyAccJerk-std()-Y" 0.0670025007684211
1 1 "WALKING" "tBodyAccJerk-std()-Z" -0.502699788526316
1 1 "WALKING" "tBodyGyro-std()-X" -0.473535485894737
1 1 "WALKING" "tBodyGyro-std()-Y" -0.0546077686594737
1 1 "WALKING" "tBodyGyro-std()-Z" -0.344266629473684
1 1 "WALKING" "tBodyGyroJerk-std()-X" -0.207421854757895
1 1 "WALKING" "tBodyGyroJerk-std()-Y" -0.304468510631579
1 1 "WALKING" "tBodyGyroJerk-std()-Z" -0.404255452631579
1 1 "WALKING" "tBodyAccMag-std()" -0.219688645631579
1 1 "WALKING" "tGravityAccMag-std()" -0.219688645631579
1 1 "WALKING" "tBodyAccJerkMag-std()" -0.0744717500625263
1 1 "WALKING" "tBodyGyroMag-std()" -0.186978364526316
1 1 "WALKING" "tBodyGyroJerkMag-std()" -0.325324878894737
1 1 "WALKING" "fBodyAcc-std()-X" -0.319134719578947
1 1 "WALKING" "fBodyAcc-std()-Y" 0.056040006846
1 1 "WALKING" "fBodyAcc-std()-Z" -0.279686751494737
1 1 "WALKING" "fBodyAccJerk-std()-X" -0.133586606326316
1 1 "WALKING" "fBodyAccJerk-std()-Y" 0.106739857136
1 1 "WALKING" "fBodyAccJerk-std()-Z" -0.534713440421053
1 1 "WALKING" "fBodyGyro-std()-X" -0.516691938736842
1 1 "WALKING" "fBodyGyro-std()-Y" -0.0335081597884211
1 1 "WALKING" "fBodyGyro-std()-Z" -0.436562227473684
1 1 "WALKING" "fBodyAccMag-std()" -0.398032586842105
1 1 "WALKING" "fBodyBodyAccJerkMag-std()" -0.103492403002105
1 1 "WALKING" "fBodyBodyGyroMag-std()" -0.321017953894737
1 1 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.381601911789474
1 2 "WALKING" "tBodyAcc-mean()-X" 0.276426586440678
1 2 "WALKING" "tBodyAcc-mean()-Y" -0.0185949199145763
1 2 "WALKING" "tBodyAcc-mean()-Z" -0.105500357966102
1 2 "WALKING" "tGravityAcc-mean()-X" 0.91301733338983
1 2 "WALKING" "tGravityAcc-mean()-Y" -0.34660709
1 2 "WALKING" "tGravityAcc-mean()-Z" 0.0847270871186441
1 2 "WALKING" "tBodyAccJerk-mean()-X" 0.0618080696279661
1 2 "WALKING" "tBodyAccJerk-mean()-Y" 0.0182492679288136
1 2 "WALKING" "tBodyAccJerk-mean()-Z" 0.00789533706610169
1 2 "WALKING" "tBodyGyro-mean()-X" -0.0530258157347458
1 2 "WALKING" "tBodyGyro-mean()-Y" -0.0482382316949153
1 2 "WALKING" "tBodyGyro-mean()-Z" 0.0828336633220339
1 2 "WALKING" "tBodyGyroJerk-mean()-X" -0.0818833429152542
1 2 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0538299449067797
1 2 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0514939156830508
1 2 "WALKING" "tBodyAccMag-mean()" -0.290407593728814
1 2 "WALKING" "tGravityAccMag-mean()" -0.290407593728814
1 2 "WALKING" "tBodyAccJerkMag-mean()" -0.281424153881356
1 2 "WALKING" "tBodyGyroMag-mean()" -0.446549092881356
1 2 "WALKING" "tBodyGyroJerkMag-mean()" -0.547911950338983
1 2 "WALKING" "fBodyAcc-mean()-X" -0.346048161016949
1 2 "WALKING" "fBodyAcc-mean()-Y" -0.0219048103322034
1 2 "WALKING" "fBodyAcc-mean()-Z" -0.453806369830508
1 2 "WALKING" "fBodyAcc-meanFreq()-X" -0.14579548970339
1 2 "WALKING" "fBodyAcc-meanFreq()-Y" 0.198586466508475
1 2 "WALKING" "fBodyAcc-meanFreq()-Z" 0.0688995208186441
1 2 "WALKING" "fBodyAccJerk-mean()-X" -0.304615322881356
1 2 "WALKING" "fBodyAccJerk-mean()-Y" -0.0787640836610169
1 2 "WALKING" "fBodyAccJerk-mean()-Z" -0.554956709661017
1 2 "WALKING" "fBodyAccJerk-meanFreq()-X" -0.0727101584479661
1 2 "WALKING" "fBodyAccJerk-meanFreq()-Y" -0.263574018186441
1 2 "WALKING" "fBodyAccJerk-meanFreq()-Z" -0.254846438755932
1 2 "WALKING" "fBodyGyro-mean()-X" -0.429713536101695
1 2 "WALKING" "fBodyGyro-mean()-Y" -0.55477211220339
1 2 "WALKING" "fBodyGyro-mean()-Z" -0.396659907457627
1 2 "WALKING" "fBodyGyro-meanFreq()-X" 0.00727967988474576
1 2 "WALKING" "fBodyGyro-meanFreq()-Y" -0.0427009322372881
1 2 "WALKING" "fBodyGyro-meanFreq()-Z" 0.139752115269492
1 2 "WALKING" "fBodyAccMag-mean()" -0.324289427932203
1 2 "WALKING" "fBodyAccMag-meanFreq()" 0.393206208305085
1 2 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.169064352813559
1 2 "WALKING" "fBodyBodyAccJerkMag-meanFreq()" 0.20750092670339
1 2 "WALKING" "fBodyBodyGyroMag-mean()" -0.530704814745763
1 2 "WALKING" "fBodyBodyGyroMag-meanFreq()" 0.305283825254237
1 2 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.583249293389831
1 2 "WALKING" "fBodyBodyGyroJerkMag-meanFreq()" 0.126344614439492
1 2 "WALKING" "tBodyAcc-std()-X" -0.423642838474576
1 2 "WALKING" "tBodyAcc-std()-Y" -0.0780912533118644
1 2 "WALKING" "tBodyAcc-std()-Z" -0.425257524915254
1 2 "WALKING" "tGravityAcc-std()-X" -0.972693201355932
1 2 "WALKING" "tGravityAcc-std()-Y" -0.972116879661017
1 2 "WALKING" "tGravityAcc-std()-Z" -0.972072847627119
1 2 "WALKING" "tBodyAccJerk-std()-X" -0.277530462620339
1 2 "WALKING" "tBodyAccJerk-std()-Y" -0.0166022362847458
1 2 "WALKING" "tBodyAccJerk-std()-Z" -0.586090418983051
1 2 "WALKING" "tBodyGyro-std()-X" -0.561550255762712
1 2 "WALKING" "tBodyGyro-std()-Y" -0.53845366779661
1 2 "WALKING" "tBodyGyro-std()-Z" -0.481085535084746
1 2 "WALKING" "tBodyGyroJerk-std()-X" -0.389549831525424
1 2 "WALKING" "tBodyGyroJerk-std()-Y" -0.634140436101695
1 2 "WALKING" "tBodyGyroJerk-std()-Z" -0.435492677288136
1 2 "WALKING" "tBodyAccMag-std()" -0.422544169322034
1 2 "WALKING" "tGravityAccMag-std()" -0.422544169322034
1 2 "WALKING" "tBodyAccJerkMag-std()" -0.164150985127119
1 2 "WALKING" "tBodyGyroMag-std()" -0.553019916271186
1 2 "WALKING" "tBodyGyroJerkMag-std()" -0.557798151355932
1 2 "WALKING" "fBodyAcc-std()-X" -0.457651383728814
1 2 "WALKING" "fBodyAcc-std()-Y" -0.16921968620339
1 2 "WALKING" "fBodyAcc-std()-Z" -0.455222146440678
1 2 "WALKING" "fBodyAccJerk-std()-X" -0.31431306340678
1 2 "WALKING" "fBodyAccJerk-std()-Y" -0.0153329520084746
1 2 "WALKING" "fBodyAccJerk-std()-Z" -0.615898188474576
